Trip_ID,Truck_ID,Driver_ID,Start_Location,End_Location,Scheduled_Departure,Scheduled_Arrival,Actual_Departure,Actual_Arrival,Weather_Condition,Traffic_Level,Road_Condition,Delay_Minutes,Distance_km,Fuel_Consumption_L,scheduled_duration_min,actual_duration_min,delay_recomputed,avg_speed_actual,fuel_efficiency_kmpl,hour_of_day,day_of_week,month,delay_min,computed_speed
T4129,TR73,D251,Mumbai,Pune,2024-04-01 07:02:00,2024-04-01 14:15:00,2024-04-01 06:48:00,2024-04-01 15:21:00,Storm,Medium,Poor,80,315,81.39,433,513.0,80,36.84210526,3.870254330998894,7,0,4,66.0,36.84210526315789
T4130,TR45,D122,Chennai,Delhi,2024-03-25 00:40:00,2024-03-25 09:54:00,2024-03-25 00:58:00,2024-03-25 11:48:00,Clear,High,Moderate,96,1309,493.29,554,650.0,96,120.8307692,2.653611465872002,0,0,3,114.0,120.83076923076922
T4131,TR184,D299,Hyderabad,Chennai,2024-02-11 05:16:00,2024-02-11 09:43:00,2024-02-11 05:49:00,2024-02-11 12:11:00,Fog,Medium,Moderate,115,1701,452.71,267,382.0,115,267.1727749,3.757372269223123,5,6,2,148.0,78.82579317134292
T4132,TR107,D263,Mumbai,Lucknow,2024-04-06 22:04:00,2024-04-07 00:26:00,2024-04-06 22:52:00,2024-04-07 02:12:00,Clear,Low,Poor,58,1626,477.74,142,200.0,58,487.8,3.4035249298781762,22,5,4,106.0,78.82579317134292
T4133,TR84,D381,Kolkata,Chennai,2024-06-03 18:02:00,2024-06-03 19:02:00,2024-06-03 17:54:00,2024-06-03 18:39:00,Rainy,Low,Moderate,-15,1848,415.72,60,45.0,-15,2464.0,4.445299720966035,18,0,6,-23.0,78.82579317134292
T4134,TR82,D49,Mumbai,Pune,2024-06-17 13:32:00,2024-06-17 21:48:00,2024-06-17 14:25:00,2024-06-18 00:28:00,Clear,Medium,Moderate,107,1257,277.52,496,603.0,107,125.0746269,4.52940328624964,13,0,6,160.0,125.07462686567163
T4135,TR107,D377,Jaipur,Kolkata,2024-02-27 18:05:00,2024-02-27 23:14:00,2024-02-27 18:47:00,2024-02-28 00:35:00,Rainy,High,Moderate,39,1554,532.37,309,348.0,39,267.9310345,2.9190224843623795,18,1,2,81.0,78.82579317134292
T4136,TR185,D329,Chennai,Kolkata,2024-02-09 14:04:00,2024-02-09 21:53:00,2024-02-09 14:31:00,2024-02-09 23:12:00,Clear,Low,Moderate,52,1605,421.75,469,521.0,52,184.8368522,3.805572021339656,14,4,2,79.0,78.82579317134292
T4137,TR21,D297,Lucknow,Hyderabad,2024-03-27 10:00:00,2024-03-27 17:25:00,2024-03-27 10:46:00,2024-03-27 19:58:00,Rainy,Low,Good,107,1847,397.22,445,552.0,107,200.7608696,4.649816222748099,10,2,3,153.0,78.82579317134292
T4138,TR196,D362,Lucknow,Chennai,2024-03-28 21:58:00,2024-03-29 00:21:00,2024-03-28 22:34:00,2024-03-29 01:00:00,Storm,High,Poor,3,1415,348.41,143,146.0,3,581.5068493,4.06130708073821,21,3,3,39.0,78.82579317134292
T4139,TR178,D77,Hyderabad,Jaipur,2024-03-05 04:51:00,2024-03-05 14:00:00,2024-03-05 05:08:00,2024-03-05 15:46:00,Storm,Low,Poor,89,1839,496.7,549,638.0,89,172.9467085,3.702436078115563,4,1,3,106.0,78.82579317134292
T4140,TR161,D463,Delhi,Lucknow,2024-01-15 23:47:00,2024-01-16 04:45:00,2024-01-15 23:51:00,2024-01-16 07:37:00,Storm,Medium,Good,168,65,13.7,298,466.0,168,8.369098712,4.744525547445256,23,0,1,172.0,8.369098712446352
T4141,TR7,D438,Lucknow,Bangalore,2024-03-12 07:42:00,2024-03-12 17:41:00,2024-03-12 08:25:00,2024-03-12 19:01:00,Storm,Medium,Good,37,833,169.44,599,636.0,37,78.58490566,4.916194523135033,7,1,3,80.0,78.58490566037736
T4142,TR70,D127,Chennai,Hyderabad,2024-03-05 07:18:00,2024-03-05 14:37:00,2024-03-05 08:02:00,2024-03-05 15:57:00,Clear,Medium,Good,36,1171,379.19,439,475.0,36,147.9157895,3.0881616076373324,7,1,3,80.0,147.9157894736842
T4143,TR127,D197,Ahmedabad,Chennai,2024-04-14 05:46:00,2024-04-14 13:16:00,2024-04-14 06:33:00,2024-04-14 12:50:00,Snow,High,Poor,-73,968,327.36,450,377.0,-73,154.0583554,2.956989247311828,5,6,4,-26.0,78.82579317134292
T4144,TR143,D221,Bangalore,Lucknow,2024-05-19 11:42:00,2024-05-19 18:09:00,2024-05-19 12:22:00,2024-05-19 18:50:00,Rainy,Low,Good,1,1588,340.62,387,388.0,1,245.5670103,4.662086782925254,11,6,5,41.0,78.82579317134292
T4145,TR160,D483,Ahmedabad,Bangalore,2024-01-04 10:36:00,2024-01-04 19:35:00,2024-01-04 10:57:00,2024-01-04 20:08:00,Rainy,Low,Poor,12,1415,455.37,539,551.0,12,154.0834846,3.1073632430770584,10,3,1,33.0,78.82579317134292
T4146,TR148,D91,Mumbai,Jaipur,2024-01-12 18:28:00,2024-01-13 00:31:00,2024-01-12 19:12:00,2024-01-13 03:00:00,Snow,High,Good,105,845,182.92,363,468.0,105,108.3333333,4.619505794883009,18,4,1,149.0,108.33333333333334
T4147,TR143,D411,Pune,Kolkata,2024-06-15 06:11:00,2024-06-15 11:52:00,2024-06-15 06:46:00,2024-06-15 11:56:00,Rainy,Medium,Poor,-31,964,296.34,341,310.0,-31,186.5806452,3.2530201795235207,6,5,6,4.0,78.82579317134292
T4148,TR176,D8,Jaipur,Mumbai,2024-02-08 04:54:00,2024-02-08 11:38:00,2024-02-08 05:07:00,2024-02-08 12:07:00,Rainy,Medium,Moderate,16,1687,662.1,404,420.0,16,241.0,2.5479534813472284,4,3,2,29.0,78.82579317134292
T4149,TR199,D32,Pune,Bangalore,2024-06-04 18:34:00,2024-06-04 21:48:00,2024-06-04 18:27:00,2024-06-04 22:46:00,Storm,High,Good,65,1643,462.19,194,259.0,65,380.6177606,3.554815119323222,18,1,6,58.0,78.82579317134292
T4150,TR149,D468,Chennai,Delhi,2024-03-06 21:40:00,2024-03-07 06:27:00,2024-03-06 22:04:00,2024-03-07 07:36:00,Rainy,Low,Moderate,45,1774,682.07,527,572.0,45,186.0839161,2.6009060653598604,21,2,3,69.0,78.82579317134292
T4151,TR170,D320,Pune,Chennai,2024-04-20 04:18:00,2024-04-20 11:18:00,2024-04-20 05:10:00,2024-04-20 11:26:00,Rainy,Medium,Good,-44,667,220.86,420,376.0,-44,106.4361702,3.020012677714389,4,5,4,8.0,106.43617021276596
T4152,TR154,D394,Ahmedabad,Kolkata,2024-01-09 21:33:00,2024-01-10 00:27:00,2024-01-09 22:00:00,2024-01-10 01:49:00,Fog,Medium,Poor,55,1753,473.99,174,229.0,55,459.30131,3.6983902613979196,21,1,1,82.0,78.82579317134292
T4153,TR120,D269,Delhi,Kolkata,2024-02-11 14:32:00,2024-02-11 18:37:00,2024-02-11 14:39:00,2024-02-11 20:20:00,Rainy,Low,Moderate,96,646,248.82,245,341.0,96,113.6656891,2.5962543203922515,14,6,2,103.0,113.66568914956011
T4154,TR128,D191,Chennai,Bangalore,2024-03-03 19:57:00,2024-03-04 04:54:00,2024-03-03 19:49:00,2024-03-04 05:51:00,Snow,Medium,Moderate,65,1042,403.4,537,602.0,65,103.8538206,2.5830441249380267,19,6,3,57.0,103.85382059800665
T4155,TR142,D349,Bangalore,Pune,2024-03-14 22:44:00,2024-03-14 23:44:00,2024-03-14 23:42:00,2024-03-15 01:12:00,Rainy,Low,Moderate,30,436,150.98,60,90.0,30,290.6666667,2.8877997085706717,22,3,3,88.0,78.82579317134292
T4156,TR57,D163,Hyderabad,Kolkata,2024-05-15 12:04:00,2024-05-15 20:07:00,2024-05-15 12:52:00,2024-05-15 22:05:00,Snow,Low,Good,70,1618,442.45,483,553.0,70,175.5515371,3.6569103853542773,12,2,5,118.0,78.82579317134292
T4157,TR165,D61,Chennai,Pune,2024-01-18 06:44:00,2024-01-18 12:13:00,2024-01-18 06:51:00,2024-01-18 14:26:00,Rainy,Medium,Good,126,953,193.11,329,455.0,126,125.6703297,4.935011133550826,6,3,1,133.0,125.67032967032968
T4158,TR58,D438,Kolkata,Jaipur,2024-03-21 06:19:00,2024-03-21 14:17:00,2024-03-21 06:59:00,2024-03-21 14:04:00,Snow,Medium,Good,-53,1496,547.28,478,425.0,-53,211.2,2.733518491448619,6,3,3,-13.0,78.82579317134292
T4159,TR21,D264,Bangalore,Chennai,2024-01-23 08:43:00,2024-01-23 15:09:00,2024-01-23 08:41:00,2024-01-23 16:30:00,Rainy,Low,Moderate,83,1499,369.68,386,469.0,83,191.7697228,4.0548582557887904,8,1,1,81.0,78.82579317134292
T4160,TR82,D285,Chennai,Bangalore,2024-02-14 02:20:00,2024-02-14 06:34:00,2024-02-14 02:21:00,2024-02-14 06:04:00,Rainy,High,Poor,-31,1293,345.47,254,223.0,-31,347.8923767,3.7427272990418845,2,2,2,-30.0,78.82579317134292
T4161,TR69,D95,Kolkata,Pune,2024-06-15 16:20:00,2024-06-15 21:34:00,2024-06-15 16:24:00,2024-06-15 21:20:00,Fog,High,Moderate,-18,1357,512.0,314,296.0,-18,275.0675676,2.650390625,16,5,6,-14.0,78.82579317134292
T4162,TR131,D41,Bangalore,Jaipur,2024-01-10 02:24:00,2024-01-10 04:42:00,2024-01-10 02:20:00,2024-01-10 07:28:00,Fog,Medium,Moderate,170,974,376.74,138,308.0,170,189.7402597,2.5853373679460634,2,2,1,166.0,78.82579317134292
T4163,TR87,D414,Mumbai,Bangalore,2024-03-15 02:00:00,2024-03-15 04:37:00,2024-03-15 02:57:00,2024-03-15 06:07:00,Rainy,Low,Poor,33,837,274.01,157,190.0,33,264.3157895,3.054633042589687,2,4,3,90.0,78.82579317134292
T4164,TR165,D470,Lucknow,Hyderabad,2024-05-28 07:38:00,2024-05-28 11:07:00,2024-05-28 08:34:00,2024-05-28 12:30:00,Fog,Low,Poor,27,1296,307.7,209,236.0,27,329.4915254,4.211894702632434,7,1,5,83.0,78.82579317134292
T4165,TR49,D149,Jaipur,Mumbai,2024-01-28 06:30:00,2024-01-28 14:56:00,2024-01-28 06:55:00,2024-01-28 16:39:00,Clear,Low,Moderate,78,1765,359.77,506,584.0,78,181.3356164,4.905912110515051,6,6,1,103.0,78.82579317134292
T4166,TR147,D204,Lucknow,Delhi,2024-04-06 11:14:00,2024-04-06 14:16:00,2024-04-06 11:30:00,2024-04-06 14:43:00,Clear,High,Moderate,11,386,99.22,182,193.0,11,120.0,3.8903446885708526,11,5,4,27.0,120.0
T4167,TR115,D267,Ahmedabad,Delhi,2024-06-21 08:59:00,2024-06-21 15:57:00,2024-06-21 09:20:00,2024-06-21 18:19:00,Storm,Medium,Poor,121,1151,440.25,418,539.0,121,128.1261596,2.6144236229415103,8,4,6,142.0,128.126159554731
T4168,TR89,D2,Hyderabad,Pune,2024-04-29 02:33:00,2024-04-29 07:31:00,2024-04-29 02:35:00,2024-04-29 08:12:00,Storm,Medium,Moderate,39,213,67.73,298,337.0,39,37.92284866,3.144839805108519,2,0,4,41.0,37.92284866468843
T4169,TR85,D178,Lucknow,Delhi,2024-04-23 12:16:00,2024-04-23 22:05:00,2024-04-23 12:29:00,2024-04-23 23:37:00,Clear,High,Moderate,79,274,56.43,589,668.0,79,24.61077844,4.8555732766259085,12,1,4,92.0,24.610778443113773
T4170,TR128,D425,Chennai,Ahmedabad,2024-06-02 05:22:00,2024-06-02 09:45:00,2024-06-02 05:13:00,2024-06-02 11:18:00,Storm,Low,Poor,102,1350,533.32,263,365.0,102,221.9178082,2.5313132828320706,5,6,6,93.0,78.82579317134292
T4171,TR140,D194,Mumbai,Jaipur,2024-04-11 00:22:00,2024-04-11 03:44:00,2024-04-11 00:46:00,2024-04-11 04:01:00,Rainy,High,Good,-7,86,21.47,202,195.0,-7,26.46153846,4.005589194224499,0,3,4,17.0,26.46153846153846
T4172,TR189,D482,Pune,Delhi,2024-06-23 02:06:00,2024-06-23 06:12:00,2024-06-23 01:56:00,2024-06-23 08:39:00,Rainy,High,Moderate,157,1043,353.88,246,403.0,157,155.2853598,2.94732677743868,2,6,6,147.0,78.82579317134292
T4173,TR169,D387,Ahmedabad,Jaipur,2024-04-18 23:04:00,2024-04-19 08:11:00,2024-04-18 23:08:00,2024-04-19 08:36:00,Storm,Medium,Moderate,21,1435,538.35,547,568.0,21,151.584507,2.6655521500882324,23,3,4,25.0,78.82579317134292
T4174,TR161,D336,Lucknow,Chennai,2024-02-22 08:48:00,2024-02-22 11:49:00,2024-02-22 09:27:00,2024-02-22 13:35:00,Clear,High,Good,67,835,266.26,181,248.0,67,202.016129,3.1360324494854654,8,3,2,106.0,78.82579317134292
T4175,TR178,D435,Delhi,Hyderabad,2024-04-14 11:57:00,2024-04-14 18:46:00,2024-04-14 12:37:00,2024-04-14 21:25:00,Snow,Low,Poor,119,506,104.49,409,528.0,119,57.5,4.842568666858073,11,6,4,159.0,57.49999999999999
T4176,TR117,D196,Hyderabad,Pune,2024-01-20 02:15:00,2024-01-20 04:54:00,2024-01-20 03:12:00,2024-01-20 06:24:00,Rainy,High,Good,33,1603,363.95,159,192.0,33,500.9375,4.404451160873746,2,5,1,90.0,78.82579317134292
T4177,TR196,D343,Pune,Chennai,2024-02-14 21:13:00,2024-02-15 02:56:00,2024-02-14 21:50:00,2024-02-15 02:56:00,Fog,Low,Moderate,-37,1270,433.74,343,306.0,-37,249.0196078,2.9280213953059437,21,2,2,0.0,78.82579317134292
T4178,TR127,D249,Jaipur,Ahmedabad,2024-03-10 16:08:00,2024-03-11 01:54:00,2024-03-10 17:05:00,2024-03-11 02:28:00,Snow,High,Good,-23,125,46.92,586,563.0,-23,13.32149201,2.6641091219096333,16,6,3,34.0,13.321492007104796
T4179,TR71,D498,Chennai,Pune,2024-05-06 11:09:00,2024-05-06 18:32:00,2024-05-06 12:05:00,2024-05-06 19:46:00,Fog,Low,Poor,18,810,216.99,443,461.0,18,105.4229935,3.7328909166321025,11,0,5,74.0,105.42299349240781
T4180,TR86,D212,Mumbai,Hyderabad,2024-05-30 18:22:00,2024-05-30 22:28:00,2024-05-30 18:39:00,2024-05-30 22:58:00,Rainy,Medium,Moderate,13,1697,644.84,246,259.0,13,393.1274131,2.631660566962347,18,3,5,30.0,78.82579317134292
T4181,TR33,D153,Bangalore,Kolkata,2024-06-06 13:05:00,2024-06-06 14:12:00,2024-06-06 13:11:00,2024-06-06 15:59:00,Storm,Medium,Good,101,1385,394.57,67,168.0,101,494.6428571,3.51015029018932,13,3,6,107.0,78.82579317134292
T4182,TR81,D158,Lucknow,Jaipur,2024-05-27 00:38:00,2024-05-27 08:36:00,2024-05-27 01:12:00,2024-05-27 11:06:00,Fog,High,Moderate,116,563,125.09,478,594.0,116,56.86868687,4.500759453193701,0,0,5,150.0,56.868686868686865
T4183,TR152,D466,Delhi,Bangalore,2024-03-25 14:05:00,2024-03-25 16:34:00,2024-03-25 14:16:00,2024-03-25 18:09:00,Clear,Medium,Poor,84,1862,496.31,149,233.0,84,479.4849785,3.751687453406137,14,0,3,95.0,78.82579317134292
T4184,TR61,D362,Hyderabad,Jaipur,2024-03-12 01:18:00,2024-03-12 10:33:00,2024-03-12 01:50:00,2024-03-12 13:14:00,Fog,High,Good,129,321,67.69,555,684.0,129,28.15789474,4.742207120697296,1,1,3,161.0,28.157894736842103
T4185,TR61,D139,Jaipur,Kolkata,2024-01-10 18:53:00,2024-01-10 21:48:00,2024-01-10 19:43:00,2024-01-11 00:29:00,Clear,Low,Poor,111,725,161.9,175,286.0,111,152.0979021,4.478072884496603,18,2,1,161.0,78.82579317134292
T4186,TR98,D221,Lucknow,Bangalore,2024-06-21 16:47:00,2024-06-21 18:06:00,2024-06-21 16:44:00,2024-06-21 20:33:00,Snow,Low,Moderate,150,148,38.06,79,229.0,150,38.77729258,3.888596952180767,16,4,6,147.0,38.777292576419214
T4187,TR28,D273,Jaipur,Bangalore,2024-05-14 09:45:00,2024-05-14 12:56:00,2024-05-14 09:31:00,2024-05-14 15:38:00,Snow,Medium,Moderate,176,1157,258.49,191,367.0,176,189.1553134,4.475995202909203,9,1,5,162.0,78.82579317134292
T4188,TR186,D154,Pune,Delhi,2024-05-28 22:08:00,2024-05-29 03:59:00,2024-05-28 22:38:00,2024-05-29 04:45:00,Storm,High,Poor,16,339,123.85,351,367.0,16,55.42234332,2.737182075090836,22,1,5,46.0,55.42234332425068
T4189,TR43,D249,Pune,Delhi,2024-02-14 13:52:00,2024-02-14 20:45:00,2024-02-14 14:47:00,2024-02-14 22:36:00,Clear,Low,Moderate,56,147,48.94,413,469.0,56,18.80597015,3.0036779730281977,13,2,2,111.0,18.80597014925373
T4190,TR169,D279,Ahmedabad,Hyderabad,2024-04-03 10:10:00,2024-04-03 15:06:00,2024-04-03 10:05:00,2024-04-03 14:58:00,Storm,High,Poor,-3,1605,377.55,296,293.0,-3,328.668942,4.251092570520461,10,2,4,-8.0,78.82579317134292
T4191,TR167,D440,Lucknow,Chennai,2024-02-29 09:20:00,2024-02-29 14:02:00,2024-02-29 09:30:00,2024-02-29 15:38:00,Fog,Medium,Poor,86,1661,660.62,282,368.0,86,270.8152174,2.514304744028337,9,3,2,96.0,78.82579317134292
T4192,TR86,D436,Mumbai,Delhi,2024-03-17 03:58:00,2024-03-17 12:13:00,2024-03-17 04:45:00,2024-03-17 14:18:00,Storm,High,Poor,78,1310,521.56,495,573.0,78,137.1727749,2.5116956821842167,3,6,3,125.0,137.17277486910993
T4193,TR177,D304,Hyderabad,Mumbai,2024-02-09 21:59:00,2024-02-09 23:37:00,2024-02-09 22:32:00,2024-02-10 00:39:00,Fog,Medium,Moderate,29,420,121.71,98,127.0,29,198.4251969,3.4508257333004684,21,4,2,62.0,78.82579317134292
T4194,TR17,D276,Bangalore,Chennai,2024-05-10 01:52:00,2024-05-10 08:18:00,2024-05-10 02:39:00,2024-05-10 08:45:00,Snow,High,Poor,-20,1224,262.23,386,366.0,-20,200.6557377,4.667658162681615,1,4,5,27.0,78.82579317134292
T4195,TR98,D493,Bangalore,Pune,2024-05-09 02:32:00,2024-05-09 07:00:00,2024-05-09 02:37:00,2024-05-09 09:17:00,Storm,Medium,Moderate,132,1362,275.03,268,400.0,132,204.3,4.952187034141731,2,3,5,137.0,78.82579317134292
T4196,TR198,D2,Chennai,Mumbai,2024-04-29 10:18:00,2024-04-29 13:03:00,2024-04-29 10:51:00,2024-04-29 15:44:00,Snow,High,Poor,128,696,168.74,165,293.0,128,142.5255973,4.124688870451582,10,0,4,161.0,142.52559726962457
T4197,TR198,D88,Chennai,Bangalore,2024-01-31 17:27:00,2024-01-31 22:35:00,2024-01-31 17:20:00,2024-01-31 23:41:00,Fog,High,Moderate,73,1124,230.53,308,381.0,73,177.007874,4.875721164273631,17,2,1,66.0,78.82579317134292
T4198,TR98,D287,Hyderabad,Jaipur,2024-06-02 18:31:00,2024-06-03 01:24:00,2024-06-02 18:36:00,2024-06-03 03:03:00,Clear,High,Good,94,734,158.9,413,507.0,94,86.86390533,4.619257394587791,18,6,6,99.0,86.8639053254438
T4199,TR65,D411,Lucknow,Hyderabad,2024-06-17 16:41:00,2024-06-18 01:30:00,2024-06-17 17:18:00,2024-06-18 03:50:00,Rainy,Medium,Poor,103,501,166.79,529,632.0,103,47.56329114,3.0037772048683977,16,0,6,140.0,47.563291139240505
T4200,TR74,D130,Lucknow,Ahmedabad,2024-04-11 04:02:00,2024-04-11 09:26:00,2024-04-11 04:41:00,2024-04-11 09:07:00,Fog,High,Good,-58,1121,319.38,324,266.0,-58,252.8571429,3.5099254806186986,4,3,4,-19.0,78.82579317134292
T4201,TR85,D78,Pune,Ahmedabad,2024-01-26 12:22:00,2024-01-26 21:05:00,2024-01-26 12:47:00,2024-01-26 22:18:00,Fog,Medium,Good,48,675,166.28,523,571.0,48,70.92819615,4.059417849410632,12,4,1,73.0,70.92819614711033
T4202,TR5,D260,Delhi,Mumbai,2024-02-04 23:19:00,2024-02-05 07:39:00,2024-02-04 23:09:00,2024-02-05 08:40:00,Rainy,Low,Poor,71,1456,505.86,500,571.0,71,152.9947461,2.8782667141106235,23,6,2,61.0,78.82579317134292
T4203,TR2,D241,Chennai,Delhi,2024-02-02 21:42:00,2024-02-03 03:25:00,2024-02-02 21:27:00,2024-02-03 03:29:00,Rainy,High,Good,19,1152,350.92,343,362.0,19,190.9392265,3.2827994984611877,21,4,2,4.0,78.82579317134292
T4204,TR22,D141,Delhi,Jaipur,2024-06-11 01:12:00,2024-06-11 11:05:00,2024-06-11 02:00:00,2024-06-11 11:48:00,Snow,High,Good,-5,1404,319.75,593,588.0,-5,143.2653061,4.390930414386239,1,1,6,43.0,143.26530612244898
T4205,TR112,D228,Lucknow,Hyderabad,2024-04-25 21:44:00,2024-04-26 04:52:00,2024-04-25 21:33:00,2024-04-26 06:12:00,Fog,Medium,Poor,91,816,242.74,428,519.0,91,94.33526012,3.3616214880118642,21,3,4,80.0,94.33526011560693
T4206,TR57,D163,Chennai,Kolkata,2024-06-01 20:26:00,2024-06-02 05:40:00,2024-06-01 20:36:00,2024-06-02 06:57:00,Fog,High,Good,67,374,77.68,554,621.0,67,36.1352657,4.814624098867147,20,5,6,77.0,36.135265700483096
T4207,TR66,D236,Bangalore,Jaipur,2024-01-03 22:53:00,2024-01-04 02:26:00,2024-01-03 22:38:00,2024-01-04 03:56:00,Storm,High,Poor,105,1265,359.69,213,318.0,105,238.6792453,3.5169173454919513,22,2,1,90.0,78.82579317134292
T4208,TR74,D128,Jaipur,Pune,2024-05-24 19:41:00,2024-05-25 01:56:00,2024-05-24 19:26:00,2024-05-25 04:42:00,Rainy,Low,Poor,181,1833,601.1,375,556.0,181,197.8057554,3.0494094160705374,19,4,5,166.0,78.82579317134292
T4209,TR98,D200,Chennai,Hyderabad,2024-05-24 14:31:00,2024-05-24 20:30:00,2024-05-24 14:53:00,2024-05-24 23:10:00,Clear,High,Good,138,831,274.68,359,497.0,138,100.3219316,3.0253385757972913,14,4,5,160.0,100.32193158953723
T4210,TR144,D450,Lucknow,Hyderabad,2024-03-11 14:18:00,2024-03-11 22:37:00,2024-03-11 14:43:00,2024-03-12 00:55:00,Fog,High,Poor,113,1820,431.48,499,612.0,113,178.4313725,4.218040233614536,14,0,3,138.0,78.82579317134292
T4211,TR112,D390,Lucknow,Jaipur,2024-05-14 09:18:00,2024-05-14 12:48:00,2024-05-14 09:30:00,2024-05-14 13:21:00,Storm,Low,Good,21,995,290.9,210,231.0,21,258.4415584,3.4204193881058784,9,1,5,33.0,78.82579317134292
T4212,TR179,D31,Jaipur,Lucknow,2024-04-27 04:13:00,2024-04-27 11:58:00,2024-04-27 04:02:00,2024-04-27 11:45:00,Clear,Medium,Poor,-2,1433,463.28,465,463.0,-2,185.7019438,3.0931618027974443,4,5,4,-13.0,78.82579317134292
T4213,TR125,D138,Delhi,Kolkata,2024-06-09 13:56:00,2024-06-09 17:50:00,2024-06-09 14:01:00,2024-06-09 20:37:00,Snow,Low,Poor,162,954,225.28,234,396.0,162,144.5454545,4.234730113636363,13,6,6,167.0,144.54545454545456
T4214,TR167,D492,Hyderabad,Delhi,2024-02-06 01:54:00,2024-02-06 03:48:00,2024-02-06 02:41:00,2024-02-06 05:36:00,Storm,Low,Poor,61,93,26.17,114,175.0,61,31.88571429,3.5536874283530757,1,1,2,108.0,31.885714285714286
T4215,TR86,D21,Jaipur,Bangalore,2024-05-17 23:33:00,2024-05-18 05:43:00,2024-05-17 23:29:00,2024-05-18 06:17:00,Clear,High,Good,38,1809,391.98,370,408.0,38,266.0294118,4.615031379151997,23,4,5,34.0,78.82579317134292
T4216,TR76,D234,Bangalore,Hyderabad,2024-06-15 07:33:00,2024-06-15 11:06:00,2024-06-15 07:23:00,2024-06-15 13:06:00,Fog,High,Moderate,130,1606,414.73,213,343.0,130,280.9329446,3.872398910134304,7,5,6,120.0,78.82579317134292
T4217,TR88,D202,Lucknow,Hyderabad,2024-03-31 06:17:00,2024-03-31 15:36:00,2024-03-31 06:30:00,2024-03-31 15:09:00,Storm,Medium,Good,-40,266,53.95,559,519.0,-40,30.75144509,4.930491195551436,6,6,3,-27.0,30.7514450867052
T4218,TR168,D279,Mumbai,Delhi,2024-03-19 12:16:00,2024-03-19 21:36:00,2024-03-19 13:01:00,2024-03-19 21:12:00,Rainy,Medium,Poor,-69,1777,517.15,560,491.0,-69,217.1486762,3.4361403848013152,12,1,3,-24.0,78.82579317134292
T4219,TR38,D131,Bangalore,Pune,2024-01-29 02:29:00,2024-01-29 06:38:00,2024-01-29 02:48:00,2024-01-29 08:56:00,Clear,Medium,Good,119,1129,352.23,249,368.0,119,184.076087,3.205291996706697,2,0,1,138.0,78.82579317134292
T4220,TR188,D416,Delhi,Ahmedabad,2024-02-11 06:47:00,2024-02-11 16:12:00,2024-02-11 07:46:00,2024-02-11 18:38:00,Fog,Low,Poor,87,1027,249.79,565,652.0,87,94.50920245,4.111453621041675,6,6,2,146.0,94.50920245398773
T4221,TR59,D148,Jaipur,Bangalore,2024-05-28 09:17:00,2024-05-28 12:45:00,2024-05-28 09:53:00,2024-05-28 14:39:00,Storm,Low,Moderate,78,1084,253.81,208,286.0,78,227.4125874,4.270911311611048,9,1,5,114.0,78.82579317134292
T4222,TR138,D458,Lucknow,Mumbai,2024-06-11 14:33:00,2024-06-11 15:40:00,2024-06-11 14:50:00,2024-06-11 16:24:00,Clear,Low,Moderate,27,406,159.69,67,94.0,27,259.1489362,2.542425950278665,14,1,6,44.0,78.82579317134292
T4223,TR99,D29,Lucknow,Mumbai,2024-05-01 06:22:00,2024-05-01 15:10:00,2024-05-01 06:31:00,2024-05-01 15:34:00,Snow,Medium,Good,15,528,126.51,528,543.0,15,58.34254144,4.173583115959213,6,2,5,24.0,58.34254143646408
T4224,TR192,D361,Jaipur,Bangalore,2024-05-15 12:34:00,2024-05-15 18:54:00,2024-05-15 12:32:00,2024-05-15 20:25:00,Snow,Medium,Good,93,943,319.38,380,473.0,93,119.6194503,2.9525956540797798,12,2,5,91.0,119.61945031712473
T4225,TR63,D308,Hyderabad,Pune,2024-04-03 02:58:00,2024-04-03 11:28:00,2024-04-03 03:35:00,2024-04-03 11:24:00,Rainy,High,Moderate,-41,618,126.2,510,469.0,-41,79.06183369,4.896988906497623,2,2,4,-4.0,79.06183368869937
T4226,TR49,D371,Jaipur,Pune,2024-03-16 01:05:00,2024-03-16 04:12:00,2024-03-16 01:50:00,2024-03-16 06:01:00,Storm,Low,Good,64,1808,458.88,187,251.0,64,432.1912351,3.9400278940027893,1,5,3,109.0,78.82579317134292
T4227,TR192,D430,Chennai,Kolkata,2024-02-07 09:53:00,2024-02-07 15:39:00,2024-02-07 09:50:00,2024-02-07 18:03:00,Storm,High,Poor,147,154,54.68,346,493.0,147,18.74239351,2.8163862472567667,9,2,2,144.0,18.74239350912779
T4228,TR32,D162,Kolkata,Chennai,2024-03-20 15:07:00,2024-03-20 17:33:00,2024-03-20 15:06:00,2024-03-20 19:44:00,Rainy,Medium,Poor,132,1799,683.56,146,278.0,132,388.2733813,2.6318099362162797,15,2,3,131.0,78.82579317134292
T4229,TR135,D357,Hyderabad,Jaipur,2024-05-21 18:00:00,2024-05-21 20:20:00,2024-05-21 18:39:00,2024-05-21 22:05:00,Storm,High,Good,66,1666,354.54,140,206.0,66,485.2427184,4.699046651999774,18,1,5,105.0,78.82579317134292
T4230,TR21,D340,Kolkata,Pune,2024-06-20 12:01:00,2024-06-20 21:54:00,2024-06-20 12:38:00,2024-06-20 23:19:00,Snow,Low,Moderate,48,670,144.82,593,641.0,48,62.71450858,4.626432813147356,12,3,6,85.0,62.714508580343214
